4933401J01Rik chr1:3073252-3074322
Prol1 chr5:88317311-88328814
Amtn chr5:88376107-88385916
Ambn chr5:88455990-88468531
Enam chr5:88487974-88506049
Jchain chr5:88520511-88527891
Utp3 chr5:88554461-88556090
Rufy3 chr5:88565039-88651392
Grsf1 chr5:88659447-88676171
Mob1b chr5:88720854-88764220
Dck chr5:88764995-88783281
Gm42912 chr5:88793895-88813470
Slc4a4 chr5:88886817-89239653
Gc chr5:89417521-89457898
Gm43515 chr5:89522859-89525000
Npffr2 chr5:89527428-89583740
Adamts3 chr5:89677086-89883334
Gm25320 chr5:89681915-89682239
Gm25758 chr5:89828870-89828999
Cox18 chr5:90214723-90224001
Ankrd17 chr5:90227165-90366577
Gm9958 chr5:90367203-90368487
Gm43363 chr5:90397272-90399919
Alb chr5:90460896-90476602
Afp chr5:90490736-90508907
Gm43449 chr5:90499087-90515931
Afm chr5:90518931-90553543
Gm43448 chr5:90553198-90589057
5830473C10Rik chr5:90561106-90597871
Rassf6 chr5:90603075-90640657
Cxcl5 chr5:90759377-90761624
Ppbp chr5:90768517-90770063
Pf4 chr5:90772434-90773383
Cxcl3 chr5:90786102-90788093
Cxcl15 chr5:90794533-90803067
Gm24322 chr5:90796185-90796255
Gm43085 chr5:90803260-90806392
Gm43086 chr5:90832327-90835951
Cxcl1 chr5:90891240-90893115
Gm22816 chr5:90893379-90893496
Cxcl2 chr5:90903870-90905938
Gm42530 chr5:90922731-90924902
Mthfd2l chr5:90931255-91021368
Epgn chr5:91027463-91035215
Gm42532 chr5:91051870-91074773
Ereg chr5:91074621-91093646
Areg chr5:91139598-91148432
Gm23092 chr5:91217897-91218004
Gm19619 chr5:91257570-91283421
Btc chr5:91357260-91402994
Parm1 chr5:91517614-91626894
Gm28271 chr5:91763324-91767914
1700063O14Rik chr5:91766241-91767300
Gm19649 chr5:91786060-91786882
Gm43688 chr5:91911399-91913403
Rchy1 chr5:91948903-91963068
Gm43039 chr5:91957999-91958962
Gm24113 chr5:91982704-91982980
Gm1045 chr5:91987474-91995320
Cdkl2 chr5:92006073-92043042
Gm26582 chr5:92043063-92055960
G3bp2 chr5:92052145-92083719
Gm22728 chr5:92056063-92056192
Gm24931 chr5:92118176-92118283
Uso1 chr5:92137937-92202798
Gm43040 chr5:92191359-92191917
Gm25290 chr5:92193321-92193465
U90926 chr5:92209892-92215408
Ppef2 chr5:92226678-92256278
Naaa chr5:92257658-92278170
Sdad1 chr5:92284009-92310024
Gm43599 chr5:92290051-92302760
Gm23031 chr5:92302173-92302292
Cxcl9 chr5:92321346-92328079
Art3 chr5:92331840-92414628
Cxcl10 chr5:92346637-92348889
Cxcl11 chr5:92359543-92365485
Nup54 chr5:92415539-92435219
Gm26039 chr5:92429784-92429928
Scarb2 chr5:92441313-92505637
Mir6415 chr5:92458556-92458656
Fam47e chr5:92555068-92591279
Stbd1 chr5:92603040-92606579
Ccdc158 chr5:92608252-92675271
Shroom3 chr5:92683434-92965318
Gm20500 chr5:92736204-92737442
Mir1961 chr5:92788450-92788562
4932430I15Rik chr5:92804219-92809488
Gm25521 chr5:93013031-93013139
Sowahb chr5:93041122-93045022
Gm22915 chr5:93073860-93073996
Gm43172 chr5:93090993-93093130
Gm43173 chr5:93092758-93093351
11-Sep chr5:93093436-93176447
Gm43682 chr5:93176969-93179059
Ccni chr5:93181932-93206495
Gm43681 chr5:93183855-93185758
2010109A12Rik chr5:93206517-93213475
Ccng2 chr5:93267256-93276231
Gm16427 chr5:93481828-93540200
C87414 chr5:93634992-93671551
Gm7792 chr5:93843775-93856107
Gm16429 chr5:93924776-93929052
BC061212 chr5:94066150-94070545
Gm6351 chr5:94078167-94080997
Gm3106 chr5:94218004-94222010
A430089I19Rik chr5:94302518-94306796
Gm6502 chr5:94314434-94317255
AA792892 chr5:94339748-94385079
Gm7682 chr5:94445783-94448653
Gm3139 chr5:94526286-94546423
Gm3147 chr5:94612068-94616342
Gm6509 chr5:94623978-94626848
Gm6205 chr5:94648381-94686353
Gm3183 chr5:94865435-94885388
Gm6367 chr5:94988625-95026536
Gm7942 chr5:95106937-95111158
Gm16513 chr5:95182623-95195342
Gm10424 chr5:95268492-95272768
Gm3259 chr5:95305956-95343917
D5Ertd577e chr5:95456805-95485587
Gm3286 chr5:95510757-95522953
Gm7971 chr5:95590598-95594875
Gm7978 chr5:95731788-95736173
Gm7982 chr5:95743793-95746617
E330014E10Rik chr5:95775989-95804708
Gm25937 chr5:95867333-95867440
Cxcl13 chr5:95956950-95961068
Cnot6l chr5:96070332-96161990
Mrpl1 chr5:96209492-96266727
Fras1 chr5:96373954-96784728
Gm33050 chr5:96456388-96457743
Gm42605 chr5:96485765-96486150
Gm42604 chr5:96735546-96739364
Anxa3 chr5:96793384-96845966
Gm42603 chr5:96798206-96800352
1700016F12Rik chr5:96849504-96852938
Gm42601 chr5:96879341-96891172
Gm42602 chr5:96879517-96882741
Gm24623 chr5:96907631-96907825
Gm33370 chr5:96910340-96922175
Gm43147 chr5:96912699-96913241
Gm8013 chr5:96921271-96934867
Gm43148 chr5:96936812-96937332
Gm43144 chr5:96940296-96940781
Gm9484 chr5:96996205-96997364
Bmp2k chr5:96997688-97091867
Gm43145 chr5:97046180-97046808
Paqr3 chr5:97082328-97111596
Gm43146 chr5:97143025-97149848
Gm2861 chr5:97195585-97207964
Gm33969 chr5:97325903-97348439
Naa11 chr5:97382197-97392379
4930467D21Rik chr5:97392416-97642179
Gk2 chr5:97455141-97457021
Antxr2 chr5:97882782-98031043
C430019N01Rik chr5:97999383-98000950
Gm42759 chr5:98031566-98034005
Prdm8 chr5:98167197-98188991
Fgf5 chr5:98254183-98277030
1700007G11Rik chr5:98329303-98802019
E030032P16Rik chr5:98346393-98349324
Mir703 chr5:98475555-98475664
Gm24279 chr5:98541483-98541614
Gm11111 chr5:98552694-98553744
1700010H22Rik chr5:98562781-98567004
Bmp3 chr5:98854414-98884396
Prkg2 chr5:98931267-99037035
Gm43251 chr5:99039062-99171421
A930011G23Rik chr5:99217425-99729062
Gm43252 chr5:99274094-99279284
Gm43253 chr5:99508388-99511037
Gm16227 chr5:99509943-99510682
4930405H06Rik chr5:99625835-99627062
Gm25969 chr5:99655700-99655832
Gm16226 chr5:99682409-99715774
4930522N08Rik chr5:99682998-99685034
Gm43248 chr5:99730853-99753973
Gm26252 chr5:99870247-99870323
Gm35911 chr5:99906315-99951092
Gm22838 chr5:99928282-99928381
Hnrnpd chr5:99955934-99978938
Gm17092 chr5:99977685-99978858
4930524J08Rik chr5:99979060-99979663
Hnrnpdl chr5:100033576-100039222
Enoph1 chr5:100039984-100068760
Gm26363 chr5:100056908-100056991
Tmem150c chr5:100077871-100159808
Tmem150cos chr5:100077961-100095149
Gm9932 chr5:100196610-100200724
2310034O05Rik chr5:100210691-100218049
Sec31a chr5:100361648-100416234
5430416N02Rik chr5:100420841-100429535
Gm27553 chr5:100421967-100422041
Gm27997 chr5:100426735-100426804
Gm28030 chr5:100429100-100429238
Gm27286 chr5:100429328-100429507
Gm42690 chr5:100429725-100431561
Lin54 chr5:100441917-100500626
Gm23222 chr5:100500142-100500218
Gm23173 chr5:100517283-100517443
Cops4 chr5:100518308-100547803
Plac8 chr5:100553724-100572245
Coq2 chr5:100654722-100674284
Gm15777 chr5:100670858-100678105
Hpse chr5:100679483-100719716
Helq chr5:100762144-100798598
Mrps18c chr5:100798626-100804471
Gm43511 chr5:100798748-100801045
Fam175a chr5:100805191-100820965
Gm43513 chr5:100814209-100815285
Gm43514 chr5:100820329-100820753
Gm26286 chr5:100831280-100831414
4930458D05Rik chr5:100840796-100847167
Agpat9 chr5:100846129-100899102
Gm42987 chr5:100884132-100886482
Gm36793 chr5:100910000-100913707
Gm20484 chr5:101599313-101602375
Nkx6-1 chr5:101658138-101664996
Gm43271 chr5:101698132-101704063
Gm43270 chr5:101703585-101705850
Cds1 chr5:101765129-101823858
Gm43273 chr5:101783077-101785671
Gm43272 chr5:101810491-101812075
Wdfy3 chr5:101832955-102069921
Gm20548 chr5:101837451-101846410
Gm42934 chr5:101956606-101957951
Gm43787 chr5:102057032-102058069
Gm29707 chr5:102070217-102071782
1700013M08Rik chr5:102474289-102483289
Arhgap24 chr5:102481390-102897937
Mapk10 chr5:102907947-103211334
Gm43789 chr5:102983841-102986313
4930429D17Rik chr5:103230374-103299029
Gm42619 chr5:103343971-103345107
Gm42618 chr5:103346593-103348299
5430427N15Rik chr5:103354305-103356698
Ptpn13 chr5:103425500-103598303
Gm42620 chr5:103513444-103533021
Gm23085 chr5:103602586-103602879
Slc10a6 chr5:103605710-103629403
Gm43546 chr5:103635224-103636167
1700016H13Rik chr5:103648038-103656010
Gm25721 chr5:103658236-103658407
Aff1 chr5:103754161-103855322
Klhl8 chr5:103861972-103911259
Gm43547 chr5:103879907-103880235
Gm24897 chr5:103898878-103898985
Hsd17b13 chr5:103955439-103977410
Hsd17b11 chr5:103989761-104021919
Gm43545 chr5:104044618-104047397
Nudt9 chr5:104046868-104065379
Mir5619 chr5:104048002-104048063
Gm43333 chr5:104070063-104072325
Gm17660 chr5:104070063-104077608
Sparcl1 chr5:104079110-104113733
Gm26703 chr5:104109216-104119687
Dspp chr5:104170711-104180127
Dmp1 chr5:104202612-104214102
Gm42792 chr5:104239312-104246702
Gm23616 chr5:104297187-104297297
Ibsp chr5:104299170-104311469
Mepe chr5:104325328-104338611
Spp1 chr5:104435117-104441050
Gm42793 chr5:104435120-104436372
Pkd2 chr5:104459449-104505819
BC005561 chr5:104508351-104522611
D930016D06Rik chr5:104525734-104554207
Zfp951 chr5:104813168-104860070
Abcg3 chr5:104935056-104982718
Gm24097 chr5:104936650-104936757
Gm43856 chr5:104971694-104972063
Gbp8 chr5:105014152-105139540
Gbp9 chr5:105077629-105139539
Gbp4 chr5:105115766-105139586
Gm43302 chr5:105214906-105293695
Gbp10 chr5:105215698-105239533
Gbp6 chr5:105272410-105293696
Gbp11 chr5:105323041-105346472
Gm26519 chr5:105401244-105406970
Gm42749 chr5:105409366-105415670
Lrrc8b chr5:105415774-105490074
Gm43819 chr5:105495469-105497641
Lrrc8c chr5:105519387-105613018
C230066G23Rik chr5:105580439-105581772
Lrrc8d chr5:105699968-105815215
Lrrc8dos chr5:105814772-105818988
Zfp326 chr5:105876567-105915818
Gm43817 chr5:105879582-105881844
Gm25672 chr5:106072326-106072433
Gm32736 chr5:106095090-106103547
Gm32921 chr5:106321339-106323217
Gm42914 chr5:106351534-106364234
4930432H08Rik chr5:106364560-106366849
Gm42916 chr5:106369011-106370818
Barhl2 chr5:106452522-106458166
Gm26872 chr5:106465799-106471007
Gm28050 chr5:106500893-106574718
Gm28039 chr5:106557945-106696571
Gm29464 chr5:106574874-106575387
Gm17304 chr5:106609097-106609201
Zfp644 chr5:106616738-106696830
Gm43421 chr5:106652808-106655713
Gm24191 chr5:106669998-106670120
Hfm1 chr5:106840193-106926321
Gm27527 chr5:106879599-106879698
Cdc7 chr5:106964321-106984432
Gm43419 chr5:107048835-107056042
Tgfbr3 chr5:107106569-107289629
Gm43422 chr5:107132117-107135688
Gm43423 chr5:107158477-107160571
Gm42900 chr5:107254337-107256504
Gm22557 chr5:107302945-107303047
Brdt chr5:107331158-107387058
Gm42902 chr5:107392730-107403480
n-R5s173 chr5:107401318-107401437
Ephx4 chr5:107403495-107430035
Gm17202 chr5:107404822-107431910
Lpcat2b chr5:107431548-107435039
A830010M20Rik chr5:107437996-107512556
Gm42669 chr5:107508943-107551549
1700028K03Rik chr5:107534708-107549214
Glmn chr5:107548966-107597888
Rpap2 chr5:107597372-107661838
A930041C12Rik chr5:107630249-107633850
Gm26692 chr5:107659460-107688010
5830411K02Rik chr5:107688170-107689167
4930428O21Rik chr5:107698211-107703480
Gfi1 chr5:107716656-107725805
A430072P03Rik chr5:107725156-107727104
Evi5 chr5:107744794-107875107
Gm43593 chr5:107806361-107807707
Ube2d2b chr5:107830098-107831776
Gm43592 chr5:107868473-107869638
Rpl5 chr5:107900501-107909005
Snord21 chr5:107904554-107904648
Gm22270 chr5:107905176-107905308
Gm26387 chr5:107907344-107907476
Fam69a chr5:107908052-107987085
Mtf2 chr5:108065741-108109004
Tmed5 chr5:108106365-108132620
Ccdc18 chr5:108132913-108233628
Dr1 chr5:108268896-108280526
Gm43081 chr5:108311369-108312749
Pigg chr5:108312608-108349355
Gm43082 chr5:108360186-108363885
Gm42518 chr5:108364036-108364974
Gm42517 chr5:108366072-108366547
Gm10419 chr5:108367768-108378239
Pde6b chr5:108388390-108431743
Atp5k chr5:108433243-108434448
Mfsd7a chr5:108441053-108448891
Pcgf3 chr5:108461231-108506976
Cplx1 chr5:108518553-108550024
Gm43364 chr5:108550080-108553354
Gak chr5:108569413-108629739
Gm43365 chr5:108598520-108600626
Tmem175 chr5:108629769-108648782
Dgkq chr5:108646692-108660811
Idua chr5:108660330-108684557
Slc26a1 chr5:108669877-108675569
Fgfrl1 chr5:108694267-108706924
Rnf212 chr5:108729307-108774982
1700047L14Rik chr5:108763841-108768914
Tmed11 chr5:108777234-108795363
Vmn2r8 chr5:108797192-108808754
Vmn2r9 chr5:108842946-108852510
Gm20629 chr5:108849780-108949255
Gm10417 chr5:108864832-108868354
Vmn2r10 chr5:108995538-109006436
Vmn2r11 chr5:109046872-109059452
Vmn2r12 chr5:109085848-109097864
Vmn2r13 chr5:109156067-109192107
Vmn2r14 chr5:109215501-109224622
Vmn2r15 chr5:109286268-109297556
Vmn2r16 chr5:109330380-109364481
Vmn2r17 chr5:109420012-109453387
Crlf2 chr5:109554708-109558993
Gm28000 chr5:109599078-109599163
5430403G16Rik chr5:109674544-109691041
4930522L14Rik chr5:109735989-109751886
A430073D23Rik chr5:109769406-109796298
Gm10416 chr5:109833500-109834145
Gm26779 chr5:109886230-109891137
Gm26808 chr5:109922648-109923481
Gm15446 chr5:109923399-109943936
1010001B22Rik chr5:109995510-109996398
Zfp932 chr5:109996520-110010411
Gm17655 chr5:110046138-110072513
RP23-316L10.2 chr5:110076135-110094420
Plcxd1 chr5:110099968-110103815
Gtpbp6 chr5:110103974-110108197
Zfp605 chr5:110110091-110129794
Chfr chr5:110135841-110171972
Gm43136 chr5:110153486-110154122
Gm15787 chr5:110154399-110176504
Golga3 chr5:110176700-110226470
Gm43138 chr5:110206579-110207287
Gm43137 chr5:110230607-110231201
Ankle2 chr5:110231003-110256651
Pgam5 chr5:110259129-110269913
Gm26718 chr5:110259162-110269847
Gm15788 chr5:110262160-110277267
Pxmp2 chr5:110274281-110286186
Pole chr5:110286305-110337474
Gm26277 chr5:110328031-110328183
Gm15792 chr5:110331205-110333203
P2rx2 chr5:110339811-110343212
Lrcol1 chr5:110344729-110356094
Fbrsl1 chr5:110361753-110448503
Gm26711 chr5:110385834-110388073
Gm42596 chr5:110447988-110449946
A630023P12Rik chr5:110514922-110525980
Galnt9 chr5:110544354-110621380
Noc4l chr5:110648417-110653417
Ddx51 chr5:110653450-110660496
Gm42595 chr5:110661391-110662998
Ep400 chr5:110664372-110770717
Mir7026 chr5:110666074-110666141
Gm22716 chr5:110677123-110677230
Gm26079 chr5:110692048-110692181
Gm22583 chr5:110757084-110757191
Gm15559 chr5:110770948-110779260
Pus1 chr5:110773666-110780659
Gm26515 chr5:110779881-110781127
Ulk1 chr5:110784487-110810097
Hscb chr5:110829069-110839777
Chek2 chr5:110839999-110874145
Ttc28 chr5:110879802-111289780
Gm42778 chr5:110978664-110979217
Mir701 chr5:111004143-111004252
Gm42780 chr5:111028551-111029285
Gm43677 chr5:111158310-111160688
Gm43676 chr5:111197139-111197679
Gm27602 chr5:111274983-111275094
Gm27680 chr5:111329737-111330632
Pitpnb chr5:111330762-111388359
Gm43118 chr5:111387514-111388289
Mn1 chr5:111417441-111457033
Gm43119 chr5:111423588-111425710
C130026L21Rik chr5:111581421-111587945
Gm42489 chr5:111593615-111594284
Gm26897 chr5:111733923-111734574
E130006D01Rik chr5:111734283-111761703
Gm16019 chr5:111742848-111748176
Gm42487 chr5:111791554-111805689
Gm42488 chr5:111939803-111944235
Gm42491 chr5:112156236-112165244
1700028D13Rik chr5:112206805-112210004
Miat chr5:112213227-112229395
Gm26953 chr5:112215460-112233720
Gm27998 chr5:112215506-112215867
Gm27882 chr5:112216739-112216813
Gm27627 chr5:112217317-112217467
Gm27357 chr5:112228607-112228742
Cryba4 chr5:112246492-112252518
Crybb1 chr5:112255814-112269585
Tpst2 chr5:112276690-112315361
Tfip11 chr5:112326357-112338073
Srrd chr5:112337391-112343040
Hps4 chr5:112343082-112378414
Gm6583 chr5:112353800-112356033
Gm43759 chr5:112367211-112368472
Gm43758 chr5:112372584-112372951
Gm20636 chr5:112374368-112377639
Asphd2 chr5:112384353-112392213
Sez6l chr5:112419150-112577185
Gm6588 chr5:112449425-112451738
Gm27004 chr5:112582644-112583371
1700034G24Rik chr5:112582935-112589996
4933415J04Rik chr5:112640334-112641635
Gm42864 chr5:112649366-112652112
Gm42865 chr5:112675374-112680587
Myo18b chr5:112688875-112896362
1700095B10Rik chr5:112793308-112801649
Adrbk2 chr5:112910481-113015791
Gm22740 chr5:113044143-113044252
Crybb2 chr5:113058257-113070117
Crybb3 chr5:113075838-113081584
2900026A02Rik chr5:113086322-113221236
Gm43246 chr5:113100515-113101079
F830115B05Rik chr5:113117570-113119464
4930557B06Rik chr5:113142448-113142829
Gm43095 chr5:113145327-113154368
Gm43094 chr5:113165313-113166234
Tmem211 chr5:113226908-113239263
Sgsm1 chr5:113243219-113310786
4930405N21Rik chr5:113320453-113321653
Gm43353 chr5:113324185-113325480
Mir7229 chr5:113324492-113324545
Mir7230 chr5:113337589-113337645
Aym1 chr5:113357293-113357821
Wscd2 chr5:113490446-113589725
Cmklr1 chr5:113612353-113650426
Gm15736 chr5:113644962-113645682
1700069L16Rik chr5:113692421-113724772
Ficd chr5:113735802-113740600
Sart3 chr5:113742445-113772510
Iscu chr5:113772747-113778288
Tmem119 chr5:113793728-113800516
Selplg chr5:113818546-113830501
Coro1c chr5:113842435-113908758
Gm17122 chr5:113842600-113843116
Gm43335 chr5:113860160-113863436
Gm43336 chr5:113900394-113904898
Gm42797 chr5:113928554-113930134
Gm22056 chr5:113928723-113928804
Ssh1 chr5:113937093-113993894
Dao chr5:114003702-114025682
Svop chr5:114026909-114091570
Usp30 chr5:114100314-114124720
Gm42913 chr5:114115828-114117681
Alkbh2 chr5:114123925-114128218
Ung chr5:114130385-114139323
Acacb chr5:114146534-114250761
Foxn4 chr5:114254163-114273807
Myo1h chr5:114289165-114364576
Kctd10 chr5:114363566-114380508
Ube3b chr5:114380606-114421169
Mir7027 chr5:114404467-114404539
Mmab chr5:114431033-114444060
Mvk chr5:114444268-114460591
Gm13790 chr5:114551288-114554016
Fam222a chr5:114568015-114613220
Trpv4 chr5:114622151-114658421
Gltp chr5:114669397-114690984
Tchp chr5:114707759-114722327
Gm42789 chr5:114715553-114716120
Mir7028 chr5:114719514-114719578
Git2 chr5:114727406-114773495
4930515G01Rik chr5:114773736-114774983
Ankrd13a chr5:114774676-114805822
1500011B03Rik chr5:114808195-114813976
Gm20499 chr5:114809035-114823460
2610524H06Rik chr5:114821934-114823468
Gm43620 chr5:114838874-114842075
Mir6240 chr5:114851947-114852064
4930519G04Rik chr5:114853663-114883880
Gm9936 chr5:114855757-114858682
Oasl2 chr5:114896935-114912234
Gm13822 chr5:114917317-114923277
Oasl1 chr5:114923239-114937915
2210016L21Rik chr5:114942157-114949783
Hnf1a chr5:114948979-114971067
Hnf1aos1 chr5:114968783-114997849
Hnf1aos2 chr5:114968822-114971400
1810017P11Rik chr5:114975455-114976013
Sppl3 chr5:115011136-115098790
C730045M19Rik chr5:115039769-115041084
Gm10401 chr5:115097688-115098295
Acads chr5:115110298-115119346
Unc119b chr5:115122549-115134975
Mlec chr5:115142980-115158179
Cabp1 chr5:115168688-115194381
Pop5 chr5:115235835-115240991
Rnf10 chr5:115241411-115272898
Coq5 chr5:115279665-115296972
Dynll1 chr5:115297109-115300999
Gm13830 chr5:115301119-115319208
Srsf9 chr5:115327176-115333080
Gatc chr5:115333238-115341178
Triap1 chr5:115341224-115343569
Cox6a1 chr5:115345641-115348981
Gm42903 chr5:115349129-115353155
4930401G09Rik chr5:115358699-115360123
Gm13832 chr5:115359077-115422863
A930005G22Rik chr5:115420596-115422500
Gm43231 chr5:115427217-115429475
Msi1 chr5:115429598-115455698
4930430O22Rik chr5:115436065-115436644
Pla2g1b chr5:115466261-115474722
Sirt4 chr5:115478009-115484725
Gm24265 chr5:115489458-115489599
Gm24407 chr5:115490253-115490394
Pxn chr5:115506675-115555987
Gm13840 chr5:115515262-115515947
Rplp0 chr5:115559466-115563727
Gcn1l1 chr5:115565253-115622654
Mir7029 chr5:115580948-115581009
1110006O24Rik chr5:115631048-115631816
Rab35 chr5:115631907-115647736
Mir7030 chr5:115645572-115645632
Ccdc64 chr5:115648174-115731621
Cit chr5:115845643-116008947
Gm42473 chr5:115870143-115872434
Gm42471 chr5:115902429-115904294
Gm14508 chr5:116009315-116016105
Prkab1 chr5:116013585-116024508
Gm13842 chr5:116026410-116028836
Tmem233 chr5:116038754-116083244
C330018A13Rik chr5:116123613-116129110
Ccdc60 chr5:116124640-116288985
Gm14507 chr5:116243705-116254953
Gm13837 chr5:116257660-116258644
Gm13839 chr5:116301299-116303514
Gm13838 chr5:116305681-116309360
B230112J18Rik chr5:116312359-116318281
4933424N20Rik chr5:116380172-116381635
4930562A09Rik chr5:116390677-116392800
Hspb8 chr5:116408490-116422864
Srrm4os chr5:116438719-116465487
Srrm4 chr5:116439275-116591817
Gm42853 chr5:116456097-116457484
4933430H06Rik chr5:116501373-116502716
Gm42854 chr5:116572526-116573495
Gm43122 chr5:116642735-116830554
Gm29926 chr5:116811230-116813828
4930569F06Rik chr5:116821453-116821886
Suds3 chr5:117091679-117116113
9530046B11Rik chr5:117115217-117118723
Taok3 chr5:117120128-117275219
Gm43637 chr5:117130322-117133248
n-R5s174 chr5:117196554-117196675
Pebp1 chr5:117282653-117287625
Gm42546 chr5:117299888-117302480
BC051077 chr5:117312517-117315645
Gm10399 chr5:117318496-117319244
Vsig10 chr5:117319082-117355005
Wsb2 chr5:117357303-117378601
Rfc5 chr5:117378102-117389047
Gm15728 chr5:117389138-117393498
Ksr2 chr5:117413999-117775003
Gm42550 chr5:117520698-117521658
Nos1 chr5:117841849-117958840
Gm37028 chr5:117872812-117872919
Gm26995 chr5:117935724-117939518
Gm25343 chr5:117976453-117976560
Fbxo21 chr5:117976729-118010201
Gm42545 chr5:118026448-118027370
Tesc chr5:118027742-118061878
Fbxw8 chr5:118064964-118155464
Gm9754 chr5:118065359-118069710
Gm26411 chr5:118148787-118148894
Hrk chr5:118169747-118189478
Rnft2 chr5:118190735-118245116
Gm24050 chr5:118211052-118211342
2410131K14Rik chr5:118245226-118266093
Gm25076 chr5:118266448-118266580
Gm28563 chr5:118396805-118397330
Gm26455 chr5:118418726-118418818
Med13l chr5:118560718-118765438
Gm43785 chr5:118561756-118563101
Gm43788 chr5:118602715-118605132
Gm43275 chr5:118618293-118619313
Gm43274 chr5:118644372-118649372
Gm43052 chr5:118687617-118689245
Gm43051 chr5:118707401-118710079
Gm43782 chr5:118875810-118877465
Gm43342 chr5:118928122-118935962
4930413E15Rik chr5:118952338-118961261
Gm43784 chr5:118994560-118996996
1700081H04Rik chr5:119108233-119114543
Gm7538 chr5:119194483-119200018
n-R5s175 chr5:119297244-119297361
Gm31314 chr5:119518794-119527954
Tbx3os1 chr5:119570132-119627593
Gm43399 chr5:119595830-119598204
Gm16063 chr5:119625941-119634464
Gm16064 chr5:119646133-119659262
Tbx3 chr5:119670668-119684724
Tbx3os2 chr5:119685094-119691218
1700021F13Rik chr5:119805328-119807869
Gm43050 chr5:119828447-119831920
Tbx5 chr5:119834662-119885219
Gm43269 chr5:119914937-119916846
Gm43277 chr5:119959242-119963380
n-R5s176 chr5:120064334-120064443
Rbm19 chr5:120116464-120198981
Gm10390 chr5:120121095-120139263
Gm42655 chr5:120255257-120256391
Gm26474 chr5:120287725-120287847
Gm42654 chr5:120339507-120342559
Gm27199 chr5:120419658-120431767
Lhx5 chr5:120431698-120441223
Sdsl chr5:120458185-120472810
Sds chr5:120476525-120483932
Gm15690 chr5:120479841-120480903
Plbd2 chr5:120483281-120503625
Slc8b1 chr5:120511167-120534024
Tpcn1 chr5:120534152-120588673
2510016D11Rik chr5:120552054-120553039
Iqcd chr5:120589015-120607118
Rita1 chr5:120594304-120612589
Ddx54 chr5:120612738-120628592
Gm43579 chr5:120626314-120627621
Cfap73 chr5:120628334-120634235
Gm15749 chr5:120648039-120648749
Rasal1 chr5:120648821-120679597
Dtx1 chr5:120680201-120711927
Oas2 chr5:120730332-120749853
Gm43068 chr5:120746035-120747308
Oas3 chr5:120753097-120777661
Gm43069 chr5:120777795-120805623
Oas1e chr5:120786225-120795530
Oas1c chr5:120800193-120812514
Oas1b chr5:120812634-120824163
Oas1f chr5:120847366-120857986
Gm22907 chr5:120852170-120852296
Oas1h chr5:120861420-120873506
Oas1g chr5:120876141-120887582
Oas1a chr5:120896255-120907521
Oas1d chr5:120914535-120921652
Rph3a chr5:120940498-121010080
Gm42656 chr5:120970042-120972347
Ptpn11 chr5:121130532-121191397
Gm42930 chr5:121181736-121184996
Rpl6 chr5:121204480-121209241
Gm26205 chr5:121205009-121205143
Gm15800 chr5:121220218-121368577
Gm24671 chr5:121356843-121357001
Trafd1 chr5:121371724-121385632
Gm42917 chr5:121384009-121393465
Gm42918 chr5:121385521-121387101
Naa25 chr5:121397935-121442409
Gm43420 chr5:121402657-121404514
Erp29 chr5:121440823-121452506
Tmem116 chr5:121451892-121524183
Adam1b chr5:121500097-121503435
4930477O15Rik chr5:121503512-121504601
Adam1a chr5:121518575-121522071
Gm42878 chr5:121518612-121545482
Mapkapk5 chr5:121525037-121545905
Aldh2 chr5:121566026-121593824
Gm42879 chr5:121593694-121595908
Acad12 chr5:121596774-121618938
Acad10 chr5:121621025-121660514
Brap chr5:121660562-121687256
Atxn2 chr5:121711608-121814950
Gm43571 chr5:121715108-121718206
Gm16552 chr5:121717665-121727403
Gm42866 chr5:121742416-121745720
Sh2b3 chr5:121815647-121836859
Mir7031 chr5:121819208-121819273
1700008B11Rik chr5:121835194-121835828
4933437G19Rik chr5:121847666-121848844
Fam109a chr5:121848983-121854632
Cux2 chr5:121856365-122049851
Gm3970 chr5:122025329-122029697
Gm15637 chr5:122048381-122055654
Myl2 chr5:122100950-122113472
Ccdc63 chr5:122108039-122138062
Ppp1cc chr5:122158277-122175273
Gm42748 chr5:122165596-122167937
Hvcn1 chr5:122209728-122242297
Tctn1 chr5:122237847-122264460
Pptc7 chr5:122284364-122324281
Rad9b chr5:122323222-122354233
Vps29 chr5:122354368-122364984
Fam216a chr5:122364579-122372364
Gpn3 chr5:122372450-122382902
Gm42830 chr5:122377407-122377720
Arpc3 chr5:122391877-122406179
Gm42829 chr5:122408489-122411074
Anapc7 chr5:122421692-122444912
Atp2a2 chr5:122453513-122502225
Gm43359 chr5:122482799-122484999
Gm43360 chr5:122492021-122494908
Gm43361 chr5:122496158-122500848
Gm22965 chr5:122506788-122506889
Ift81 chr5:122550203-122614518
Gm43541 chr5:122567523-122568104
Gm43301 chr5:122581468-122584853
P2rx7 chr5:122643910-122691432
Mir8115 chr5:122682596-122682715
P2rx4 chr5:122707543-122729738
Camkk2 chr5:122731169-122779382
Gm43684 chr5:122779524-122786097
Anapc5 chr5:122787458-122821339
Rnf34 chr5:122850047-122871291
Kdm2b chr5:122870664-122989823
Gm43411 chr5:122906821-122908400
Gm44574 chr5:122987682-123012874
A930024E05Rik chr5:122989353-122998345
Gm2479 chr5:123007298-123015080
Orai1 chr5:123015073-123030456
