Myo81F 3R:567076-2532932
CR44226 3R:23040776-23041340
CG13838 3R:23042241-23042669
CG13837 3R:23043990-23044661
CG17121 3R:23044664-23048214
p53 3R:23049657-23054082
Gr94a 3R:23051689-23052903
CR46089 3R:23052916-23057984
CG17119 3R:23054410-23058958
sav 3R:23058609-23061304
Ublcp1 3R:23061493-23062751
CG17111 3R:23062713-23067259
Cow 3R:23070516-23112730
CG17110 3R:23091724-23095441
CG6726 3R:23091724-23095184
CG17109 3R:23095690-23097240
CG6733 3R:23097728-23099191
CG6738 3R:23099533-23100983
Rassf 3R:23114014-23117931
CenB1A 3R:23118400-23124217
CG31365 3R:23123962-23126422
CG31457 3R:23126581-23127981
hh 3R:23128169-23141906
unk 3R:23149653-23157862
VhaAC39-2 3R:23158017-23159316
CG13829 3R:23160477-23161338
Irk1 3R:23168317-23185642
CG46310 3R:23173873-23185642
cnc 3R:23185580-23226711
fzo 3R:23201644-23204034
CG4467 3R:23227727-23248903
Rad60 3R:23249443-23251477
EloA 3R:23251563-23255071
wda 3R:23255070-23258087
CG13827 3R:23258365-23260602
orb 3R:23260610-23280856
Cdc16 3R:23281201-23284123
CG6763 3R:23284002-23286041
CG17083 3R:23286093-23288051
bb8 3R:23288217-23290189
pnt 3R:23290231-23346167
CR46090 3R:23333504-23333803
DNApol-epsilon255 3R:23348128-23355163
ATPsynCF6 3R:23355220-23356064
Sec13 3R:23356278-23358531
RpS3 3R:23358812-23360207
CG4408 3R:23361889-23363574
CR44322 3R:23372006-23372649
CG42827 3R:23372924-23373600
CG42828 3R:23373703-23374245
CG4393 3R:23375928-23384777
CG31515 3R:23388373-23388898
CR43387 3R:23390144-23390566
CR44323 3R:23399239-23399778
CG17380 3R:23402608-23403728
Ir94d 3R:23402808-23405139
Ir94e 3R:23405509-23407402
CG4374 3R:23408684-23472278
CG43694 3R:23425602-23426029
Ir94f 3R:23481865-23483541
Ir94g 3R:23483863-23485500
CR44324 3R:23485481-23486085
Ir94h 3R:23487501-23489180
CG34289 3R:23506908-23507476
Irk2 3R:23513617-23519445
CG10177 3R:23520146-23521583
CG10175 3R:23522264-23530986
CG10170 3R:23532945-23534767
CG16732 3R:23534900-23536710
CG10168 3R:23536993-23538908
CG10164 3R:23554323-23556943
beat-IV 3R:23557412-23580077
CG10182 3R:23587120-23589819
CG33337 3R:23590141-23592769
CG16723 3R:23593625-23596273
CG10183 3R:23596561-23599034
tRNA:Leu-CAA-2-3 3R:23601333-23601455
CG10184 3R:23602507-23605495
CG31145 3R:23605751-23669659
GILT3 3R:23677358-23678421
GILT2 3R:23678895-23679855
eIF3d1 3R:23680039-23682317
CG16710 3R:23682503-23683980
CG18754 3R:23684057-23686537
SPE 3R:23686255-23688147
CG10254 3R:23689007-23694983
CR43903 3R:23694006-23694688
CG10252 3R:23695221-23696245
prt 3R:23696372-23699027
CG31468 3R:23699328-23700354
Gba1a 3R:23700621-23702605
CG31413 3R:23702761-23704542
Gba1b 3R:23704804-23708512
CR44052 3R:23706361-23707146
CG10301 3R:23710158-23711338
CG10300 3R:23711527-23713313
nau 3R:23712814-23718357
CG10232 3R:23719343-23721625
CG10365 3R:23723331-23731499
RNaseMRP:RNA 3R:23730048-23730429
Rpn9 3R:23731375-23733462
Hmgcr 3R:23733324-23750992
CR46091 3R:23746311-23747148
RanBP3 3R:23750937-23752834
Rpt5 3R:23752876-23754623
Hrd3 3R:23754623-23758557
PTPMT1 3R:23758339-23759606
SdhD 3R:23759483-23760600
CG10217 3R:23760737-23763263
Lsd-1 3R:23763857-23766662
CG10214 3R:23766519-23767488
CG10375 3R:23767712-23768984
tst 3R:23768399-23772859
CG10208 3R:23772998-23774127
Nup98-96 3R:23774225-23781621
mbc 3R:23781765-23801634
CG33111 3R:23801714-23819237
CG34355 3R:23803859-23859167
eIF4G2 3R:23808285-23819237
CR43285 3R:23825352-23825907
snRNA:U1:95Cc 3R:23826334-23826497
snRNA:U1:95Cb 3R:23827870-23828033
snRNA:U1:95Ca 3R:23859467-23859630
Pli 3R:23860162-23890052
TfIIA-S 3R:23890388-23891060
tbrd-1 3R:23891597-23893383
sba 3R:23894174-23922973
CG31141 3R:23923300-23924319
Ndc1 3R:23924399-23926436
CG13601 3R:23926372-23927634
CG43999 3R:23927728-23929000
CG43998 3R:23927728-23929000
CG31142 3R:23929243-23929988
Rpt2 3R:23929873-23931558
CG13599 3R:23931639-23932728
RpS19b 3R:23932729-23933530
CG5854 3R:23933912-23935964
Gdh 3R:23935958-23943101
CG12268 3R:23943628-23948424
GluProRS 3R:23952136-23958391
CR46092 3R:23957305-23958388
AP-1sigma 3R:23958651-23962555
CG31140 3R:23963180-23983232
mir-9381 3R:23983496-23983569
CR31451 3R:23983503-23985065
CG13603 3R:23985213-23986569
CG5902 3R:23986642-23988738
CG13604 3R:23988806-23992916
Rab7 3R:23993008-23995452
CG33108 3R:23995659-23997544
LSm3 3R:23996262-23997017
KrT95D 3R:23997538-24031827
Ime4 3R:24032157-24034257
Miro 3R:24034362-24038847
spas 3R:24038215-24042982
Rox8 3R:24043056-24048265
CG5986 3R:24047790-24049168
Atg6 3R:24049180-24050782
CG5991 3R:24050783-24053592
CR44097 3R:24054391-24055092
CG6000 3R:24054391-24055092
Hsp68 3R:24055080-24057310
SMC1 3R:24058287-24062815
eIF4EHP 3R:24063077-24108960
Syx1A 3R:24101600-24105763
CG10694 3R:24107391-24108358
CG18428 3R:24109367-24110010
CG13605 3R:24109944-24112389
tRNA:Leu-TAA-2-1 3R:24112964-24113047
Root 3R:24113286-24128193
CG13607 3R:24114043-24116322
GatB 3R:24128049-24130255
Tsc1 3R:24130307-24134654
Sec10 3R:24134831-24137538
Npc2f 3R:24137895-24140936
Kal1 3R:24141395-24147490
Slimp 3R:24147436-24148967
p38c 3R:24149020-24150203
p38a 3R:24150416-24152321
CG6178 3R:24152347-24154896
Myo95E 3R:24154826-24161498
CG6182 3R:24161727-24163215
mRpS24 3R:24162829-24163545
Apc2 3R:24163966-24168264
CG5510 3R:24167675-24169562
CG13606 3R:24172628-24184144
CHORD 3R:24186359-24187785
CG5515 3R:24187724-24188896
jnj 3R:24189050-24193423
CG6204 3R:24193832-24196880
twin 3R:24196893-24221965
CG17786 3R:24214631-24218718
cav 3R:24221103-24223528
Spps 3R:24223445-24226934
CG13609 3R:24227023-24228538
Spase22-23 3R:24228342-24230035
Acp95EF 3R:24228975-24229279
CR45217 3R:24229898-24231364
mask 3R:24230562-24250248
CR44092 3R:24231186-24231719
scaRNA:MeU2-G25 3R:24237166-24237284
beta-PheRS 3R:24250460-24252679
jar 3R:24252826-24271233
tRNA:Leu-TAA-4-1 3R:24265259-24265342
Orct2 3R:24273029-24275728
Orct 3R:24276260-24278792
CG13611 3R:24279572-24281576
CR45662 3R:24282911-24283368
CG6356 3R:24283955-24288617
CG34290 3R:24288553-24289818
CG6364 3R:24290172-24293371
CG5715 3R:24293366-24294399
crb 3R:24295078-24314541
Nab2 3R:24314660-24318419
CR46093 3R:24318816-24319782
BRWD3 3R:24319000-24328619
CG5728 3R:24328455-24333316
Dis3 3R:24333433-24337248
CG6432 3R:24336922-24340645
mir-1015 3R:24339232-24339295
Ms 3R:24341551-24343825
CG5746 3R:24343895-24348791
CG6454 3R:24349182-24356241
Golgin84 3R:24356070-24357938
CG18528 3R:24358095-24360144
CG5762 3R:24360705-24361683
CG33339 3R:24361847-24363142
CG33340 3R:24363138-24364289
CG17784 3R:24364081-24364980
CG13613 3R:24365554-24366349
CG42811 3R:24366527-24367220
CG42812 3R:24367360-24368164
CG33341 3R:24368358-24369419
CG13614 3R:24369568-24370731
CG17782 3R:24370751-24372762
CG17781 3R:24373456-24375661
CG33342 3R:24376865-24377705
CG17780 3R:24382920-24385052
CG5768 3R:24386104-24390339
CG13615 3R:24390592-24391870
CG13616 3R:24392889-24393762
nAChRalpha1 3R:24393896-24457157
CR43455 3R:24439867-24440469
CR45950 3R:24439867-24440510
CR45649 3R:24463558-24464078
CG31128 3R:24469397-24470310
nAChRalpha2 3R:24485428-24491147
mir-1017 3R:24488612-24488682
nAChRbeta2 3R:24509228-24515106
CG13617 3R:24515278-24518128
Pp1alpha-96A 3R:24518270-24522331
CR44021 3R:24519625-24520078
CG13622 3R:24522478-24523678
CG13618 3R:24524794-24527533
CG6607 3R:24528047-24529815
CG13623 3R:24529773-24530558
ana1 3R:24530576-24536395
CG5789 3R:24536204-24543914
Esyt2 3R:24544719-24556549
tRNA:Asp-GTC-1-11 3R:24555302-24555373
snRNA:U6:96Aa 3R:24556088-24556194
snRNA:U6:96Ab 3R:24556692-24556798
snRNA:U6:96Ac 3R:24557215-24557321
REPTOR 3R:24557368-24582864
CR46094 3R:24573770-24574304
CG13625 3R:24583067-24585160
mld 3R:24585653-24623899
CR46095 3R:24607271-24607795
Syx18 3R:24623802-24625562
atl 3R:24625671-24634714
Wsck 3R:24627066-24630075
CG43222 3R:24634625-24635165
puf 3R:24635270-24650043
ash2 3R:24650125-24653376
CG31125 3R:24653371-24654820
CG6695 3R:24655160-24659379
mir-1003 3R:24658605-24658660
CG31126 3R:24659621-24660265
Ppox 3R:24660197-24661851
slo 3R:24662491-24711595
CG46316 3R:24712780-24717430
CG13627 3R:24712780-24717430
Rpb10 3R:24717511-24717998
CG13630 3R:24717937-24719364
tok 3R:24719697-24749125
snoRNA:Me18S-C1280 3R:24723826-24723920
tld 3R:24749731-24753510
asp 3R:24753849-24760513
AstA 3R:24760530-24765071
CR45650 3R:24767728-24768484
CG13631 3R:24769351-24770933
CG42331 3R:24772181-24784562
CG5805 3R:24784552-24787421
Ets96B 3R:24788054-24797955
CG13634 3R:24788248-24790136
Ude 3R:24797460-24799668
polybromo 3R:24799967-24805259
lili 3R:24805445-24814012
CG6980 3R:24807621-24808677
CG34150 3R:24814262-24814930
CG5808 3R:24814903-24817007
CR46096 3R:24815759-24817131
Saf-B 3R:24817464-24822350
niki 3R:24822401-24825648
CR43166 3R:24825791-24826471
RabX4 3R:24826665-24828409
CG31357 3R:24828279-24829959
CG43273 3R:24830301-24830973
sosie 3R:24833952-24840488
CR45216 3R:24835604-24836238
CG33658 3R:24840509-24841163
Esp 3R:24841935-24850412
CG7006 3R:24850627-24851385
Nct 3R:24851601-24854869
HDAC11 3R:24854496-24856243
CG10899 3R:24856383-24857559
ppk22 3R:24857585-24859801
CG13639 3R:24859900-24860366
CG13640 3R:24861659-24862165
CG7016 3R:24862931-24864216
CG13641 3R:24864191-24864732
Elal 3R:24865350-24867651
CycB3 3R:24867934-24870816
CG3744 3R:24871202-24876654
CG11089 3R:24877045-24881478
CG31381 3R:24877045-24878827
CG31121 3R:24881466-24894605
CG11069 3R:24894742-24897613
CG13643 3R:24897685-24906004
CG10845 3R:24901116-24903048
CR44267 3R:24912995-24913685
PIG-S 3R:24913216-24917864
tRNA:Asp-GTC-1-12 3R:24914834-24914905
tRNA:Asp-GTC-3-1 3R:24915060-24915131
sud1 3R:24915840-24917864
CG11168 3R:24918106-24922385
Mink 3R:24922473-24925160
CR46097 3R:24924416-24925344
Trf4-2 3R:24925216-24927085
CG11771 3R:24932010-24934919
Osbp 3R:24934869-24938222
ssh 3R:24938710-24944956
Nmnat 3R:24945237-24947400
mah 3R:24947632-24949539
tnc 3R:24984384-25022867
beta4GalT7 3R:25023256-25024482
CG11781 3R:25024473-25025017
Hr96 3R:25025235-25029351
Smg6 3R:25029429-25033465
CG6422 3R:25033876-25039249
CG31115 3R:25036944-25037982
bai 3R:25039374-25040443
5PtaseI 3R:25040427-25045151
CG11786 3R:25046323-25047409
CG11790 3R:25047706-25049455
CG11791 3R:25049616-25053074
CG31109 3R:25053369-25054653
CG31111 3R:25055076-25056177
stac 3R:25056286-25064348
veli 3R:25064418-25065591
PQBP1 3R:25065791-25066718
Stt3B 3R:25066712-25069637
CG11839 3R:25069927-25070914
CG11836 3R:25071126-25072712
shams 3R:25072729-25074607
CG11920 3R:25074877-25076382
fd96Ca 3R:25082684-25084878
fd96Cb 3R:25095012-25096099
CG33096 3R:25097672-25102146
CG33095 3R:25097672-25102146
CG45095 3R:25102553-25103617
CG34027 3R:25103670-25109032
CG13650 3R:25109226-25112516
CG31108 3R:25112867-25122920
CG31510 3R:25117218-25122920
vig2 3R:25123373-25125619
Mocs2 3R:25125632-25127359
CG42503 3R:25125632-25127359
Clbn 3R:25127502-25131155
Bili 3R:25131306-25136709
CR46098 3R:25137701-25138001
danr 3R:25138072-25139903
lobo 3R:25169565-25193776
dan 3R:25184383-25192806
CG13653 3R:25195527-25196531
Cad96Ca 3R:25197571-25208283
CG13654 3R:25199818-25214255
CG13663 3R:25214325-25215188
CG31106 3R:25216297-25218708
CG31103 3R:25219318-25221444
CG11851 3R:25221589-25224118
Cad96Cb 3R:25224156-25232321
CG10420 3R:25233636-25235529
CG11852 3R:25237614-25238895
to 3R:25240180-25241668
CG11854 3R:25242020-25243262
bam 3R:25243039-25245057
RpS27 3R:25245955-25247514
Nup37 3R:25247658-25249100
Nup358 3R:25249348-25258672
CG11857 3R:25258898-25260759
CG10425 3R:25260963-25262498
CR46099 3R:25262182-25262636
CG11858 3R:25262741-25263292
GlnRS 3R:25263267-25265721
RIOK2 3R:25265844-25267757
CR45214 3R:25266813-25270007
CR43310 3R:25268009-25268464
CR13656 3R:25268661-25269965
CG11891 3R:25270209-25273267
CG11889 3R:25270209-25273267
CG11878 3R:25273837-25275237
CG10513 3R:25275790-25277212
CG10514 3R:25278427-25279846
CG11892 3R:25281548-25283237
CG31300 3R:25283620-25285224
CG31104 3R:25285473-25286974
CG13658 3R:25287474-25288930
CG11893 3R:25289889-25291366
CG31098 3R:25291370-25292977
CG31102 3R:25293458-25295594
CG31097 3R:25296128-25297778
CG31288 3R:25297960-25299557
CG13659 3R:25300891-25302317
CG31370 3R:25302464-25303986
CG31436 3R:25304137-25305651
CG10550 3R:25306407-25308391
CG31099 3R:25309429-25310943
CG31087 3R:25311027-25313833
CG10559 3R:25314494-25316116
CG10553 3R:25316461-25318111
CG10560 3R:25318550-25320101
CG10562 3R:25321053-25322757
CHKov1 3R:25323156-25329316
CHKov2 3R:25329530-25331203
CG10669 3R:25331363-25335243
CG11902 3R:25335257-25340088
rha 3R:25340252-25344838
tobi 3R:25344761-25346921
Fur1 3R:25347431-25473058
ND-49L 3R:25358285-25360034
alrm 3R:25381065-25382781
CG31437 3R:25383700-25384623
Muc96D 3R:25397788-25400645
Vps33B 3R:25473490-25475756
CG4553 3R:25475636-25476915
MED28 3R:25477003-25477745
XNP 3R:25477868-25482834
CG5116 3R:25483098-25485855
CG42488 3R:25483098-25485481
Dhap-at 3R:25485618-25490936
CR44179 3R:25491285-25493262
CG5112 3R:25491460-25493262
CG33494 3R:25493481-25495161
CR44948 3R:25496078-25496478
CR43456 3R:25501827-25502577
CR43457 3R:25502785-25503221
CR45651 3R:25503378-25504478
CG5107 3R:25505191-25505931
CG5111 3R:25506275-25508279
msi 3R:25516118-25608423
CR46100 3R:25553703-25554335
CG4582 3R:25581223-25583179
CR45910 3R:25586442-25589179
mir-1000 3R:25588859-25588958
ymp 3R:25591502-25609127
Npl4 3R:25611013-25624662
CG5079 3R:25613666-25614451
CG5071 3R:25618414-25621838
Ssadh 3R:25624805-25626924
jigr1 3R:25637843-25651874
mir-92a 3R:25646506-25646600
CR45917 3R:25650572-25651557
mir-92b 3R:25651398-25651497
Tnks 3R:25653091-25661286
CR46101 3R:25657393-25658274
CR45208 3R:25661712-25662663
RASSF8 3R:25661795-25665640
Lgr3 3R:25665809-25677214
CR45225 3R:25675777-25676778
CG4730 3R:25677072-25678682
CG5039 3R:25678683-25679529
CG4743 3R:25679242-25680550
CG5028 3R:25680845-25683780
RpL27 3R:25683623-25685051
CLS 3R:25685236-25687370
LpR2 3R:25698727-25740465
CR46102 3R:25738027-25738689
LpR1 3R:25741348-25763105
CG17197 3R:25773334-25775369
CG17198 3R:25773334-25775369
CG17196 3R:25775288-25776237
CG17195 3R:25776276-25777198
CG4956 3R:25777268-25778305
CG4960 3R:25786329-25787298
CG31380 3R:25787997-25789455
CG31093 3R:25789819-25790471
CR43631 3R:25791642-25792384
CR43632 3R:25792600-25793303
CR43633 3R:25794066-25794421
CR43634 3R:25794848-25795186
CR43847 3R:25796591-25797778
BG642167 3R:25806445-25806961
CR45652 3R:25808044-25808679
CG5024 3R:25811096-25811775
CG17770 3R:25811911-25813134
Acam 3R:25811911-25813134
CG14354 3R:25815479-25816574
CR44949 3R:25823706-25825211
Mst57Dc 3R:25829321-25829698
Sfp96F 3R:25830061-25830228
Mst57Db 3R:25830720-25830914
Mst57Da 3R:25831575-25831899
alpha4GT2 3R:25832230-25842878
CR45653 3R:25843918-25844378
CR45654 3R:25845678-25846318
CR45655 3R:25846778-25847078
CR45656 3R:25847239-25847638
CR45657 3R:25848098-25848454
CG14545 3R:25850410-25851291
CG5886 3R:25851632-25853989
CG5890 3R:25856154-25872670
Tsp96F 3R:25872900-25881427
SppL 3R:25881984-25888230
Lnk 3R:25888542-25893270
CG5913 3R:25893495-25895026
CG5948 3R:25895822-25897174
MCO3 3R:25897476-25899744
CG31091 3R:25899903-25902172
CG31089 3R:25902643-25904178
CR43259 3R:25902846-25906766
CG42235 3R:25907022-25921046
CG14546 3R:25921042-25922634
CCAP-R 3R:25923499-25956270
CR34024 3R:25931401-25932016
CG14540 3R:25959279-25961686
boss 3R:25961994-25966948
fid 3R:25970080-25982736
Nf1 3R:25983013-25995737
CG43116 3R:25995879-25996996
E(spl)mdelta-HLH 3R:25997621-25998633
E(spl)mgamma-HLH 3R:25999851-26000761
CR45037 3R:26001201-26002464
CR45038 3R:26004278-26004681
E(spl)mbeta-HLH 3R:26005046-26006023
CR45039 3R:26006502-26007073
E(spl)malpha-BFM 3R:26010893-26011568
Kaz-m1 3R:26014721-26016487
CR45040 3R:26015516-26016487
E(spl)m2-BFM 3R:26016514-26017470
CR43643 3R:26018027-26019309
CR43644 3R:26020479-26021076
E(spl)m3-HLH 3R:26021823-26023127
E(spl)m4-BFM 3R:26023821-26024579
E(spl)m5-HLH 3R:26028854-26029735
E(spl)m6-BFM 3R:26032911-26034047
E(spl)m7-HLH 3R:26037038-26038019
E(spl)m8-HLH 3R:26040240-26041008
gro 3R:26041736-26049911
Exo84 3R:26049731-26052257
Vps2 3R:26052821-26054128
Dak1 3R:26054237-26055438
Sld5 3R:26055657-26056547
CG14543 3R:26056630-26057350
PIG-P 3R:26057347-26058223
CG42498 3R:26057347-26058223
RpL34a 3R:26058420-26059267
CG14544 3R:26059496-26061293
CG14551 3R:26061268-26063011
CR44950 3R:26070378-26071578
dysf 3R:26076592-26098711
CR44319 3R:26092850-26093722
CG31324 3R:26106868-26130674
CR46060 3R:26124809-26125423
CG14556 3R:26126659-26127868
CG6142 3R:26133154-26137148
CG31323 3R:26170847-26187307
CG31086 3R:26185251-26186227
CG6073 3R:26187018-26188807
CG34130 3R:26189004-26189977
CG34129 3R:26190234-26191205
CR44320 3R:26195250-26230268
CG12290 3R:26230248-26234700
CR46061 3R:26235325-26252932
CR46062 3R:26241291-26241802
Ald 3R:26254069-26261591
CR44321 3R:26260902-26261515
CG6154 3R:26262662-26277050
CG33970 3R:26318355-26362588
CR42765 3R:26324499-26325294
CG6036 3R:26344290-26345473
ppk15 3R:26401909-26403656
CG5432 3R:26414088-26416192
CG6503 3R:26424698-26425105
CG34291 3R:26425290-26425781
CR31084 3R:26425354-26428400
CR43434 3R:26428590-26429173
tx 3R:26440778-26448991
Hex-t1 3R:26449079-26450585
Hex-t2 3R:26450671-26452327
CG5447 3R:26452534-26454585
CG43117 3R:26454794-26455112
Pdf 3R:26455462-26456141
CG14237 3R:26456877-26457242
CG14238 3R:26458249-26460981
CG5455 3R:26461527-26470008
plum 3R:26470078-26535217
CR46083 3R:26509539-26510100
CR45226 3R:26519580-26522279
scrib 3R:26536350-26604051
CR46084 3R:26541292-26543209
CR44951 3R:26607047-26608440
CR45788 3R:26610434-26610879
TwdlM 3R:26619118-26620224
TwdlP 3R:26620608-26621364
TwdlB 3R:26622451-26623543
TwdlL 3R:26624587-26625652
TwdlO 3R:26625932-26626738
TwdlK 3R:26627885-26628724
TwdlJ 3R:26629918-26630825
TwdlN 3R:26631869-26632956
TwdlH 3R:26633732-26634714
TwdlR 3R:26634885-26635998
TwdlS 3R:26636688-26637557
CR46233 3R:26637805-26639515
TwdlD 3R:26640025-26641054
beat-VII 3R:26645282-26681966
Tb 3R:26656440-26657531
TwdlQ 3R:26692546-26693590
amon 3R:26697697-26714159
CG6425 3R:26715165-26717389
CG5484 3R:26717871-26719806
CG6420 3R:26719847-26725216
CG14244 3R:26726133-26726681
CG14246 3R:26727314-26730117
CG14245 3R:26728727-26729341
CG6403 3R:26735417-26736307
CG14247 3R:26737610-26738593
CR45562 3R:26756978-26757912
CR45563 3R:26769078-26769828
CG42789 3R:26783609-26784208
CR42790 3R:26784338-26785753
Tl 3R:26799041-26842403
snoRNA:Me28S-U1554 3R:26804512-26804626
Lerp 3R:26842462-26863130
CR46073 3R:26847809-26849236
mir-1012 3R:26861349-26861407
IntS12 3R:26863376-26864559
ball 3R:26864605-26866807
His2Av 3R:26866929-26869220
SPARC 3R:26869238-26871995
Rb97D 3R:26872129-26875742
ms(3)K81 3R:26875852-26876562
CG5500 3R:26876630-26880459
ro 3R:26876771-26881171
T48 3R:26881734-26910997
Ets97D 3R:26910775-26912886
CG46339 3R:26915761-26945309
CG14252 3R:26945534-26947248
tRNA:Gln-TTG-1-2 3R:26947263-26947334
tRNA:Gln-TTG-1-3 3R:26947512-26947583
CG18472 3R:26947830-26949682
CG6330 3R:26949692-26958491
Tsp97E 3R:26961064-26964817
Gr97a 3R:26965124-26966485
CG5521 3R:26966930-26977878
CG46313 3R:26978541-26985706
CG14253 3R:26978541-26985706
CG31075 3R:26985624-26988517
CG31076 3R:26989035-26989852
TwdlC 3R:26994832-26996442
RYa-R 3R:26996980-27057935
CG31077 3R:26999752-27002961
CG6296 3R:27003236-27005469
CG6295 3R:27005899-27007055
CG17192 3R:27017180-27018287
CG17191 3R:27018608-27019751
CG6283 3R:27020238-27021378
CG6277 3R:27022071-27023217
CG6271 3R:27024968-27026109
TwdlT 3R:27049220-27051004
Nep5 3R:27057908-27064199
CG34292 3R:27062216-27063059
spz 3R:27064990-27070070
CG43935 3R:27065436-27065807
CG14257 3R:27075870-27082818
Cpr97Ea 3R:27083130-27087778
Cpr97Eb 3R:27089704-27091130
CG14258 3R:27093143-27094224
CG14259 3R:27094533-27095856
eater 3R:27095867-27099679
CG17189 3R:27101406-27102917
caix 3R:27102988-27106184
gb 3R:27108467-27112270
CR45209 3R:27109329-27111033
CG5815 3R:27112566-27115126
CG6066 3R:27115152-27116707
CG5880 3R:27116745-27118532
CG5882 3R:27118646-27121590
CG6059 3R:27121618-27124688
CG6051 3R:27124759-27151069
Men-b 3R:27151662-27157603
grass 3R:27157948-27159781
CG5909 3R:27161158-27162911
ppk31 3R:27163124-27165131
CG34293 3R:27164708-27165575
spn-D 3R:27165716-27167122
Ser 3R:27172090-27194267
CR34006 3R:27216304-27218184
CG42813 3R:27227070-27228561
CG42814 3R:27228673-27229468
CG31064 3R:27229505-27239085
CG31068 3R:27233698-27236360
DNApol-alpha73 3R:27239163-27241228
CG17991 3R:27241267-27242330
CG18766 3R:27242335-27245249
CR46085 3R:27245333-27245701
CG5984 3R:27246403-27247992
CG5987 3R:27248234-27251007
TfIIA-L 3R:27251112-27256463
pll 3R:27251131-27253182
woc 3R:27256595-27264055
CR44049 3R:27260050-27261948
CG14262 3R:27264374-27265430
CG14260 3R:27265457-27266423
l(3)mbt 3R:27266326-27273273
CG5934 3R:27273705-27274565
CG5938 3R:27274794-27277418
mrt 3R:27277249-27282661
CG3368 3R:27283780-27287448
bigmax 3R:27287366-27288526
Hmu 3R:27288769-27291592
CG3348 3R:27291535-27292209
CG3339 3R:27294286-27322325
CR44287 3R:27318328-27319246
CG3330 3R:27329693-27330882
CG42534 3R:27340622-27372574
CG46335 3R:27366658-27368717
CR43476 3R:27368842-27369865
side 3R:27375088-27437482
CR45991 3R:27411671-27412297
CG44290 3R:27438871-27440944
CG43447 3R:27440312-27440845
CG13978 3R:27464189-27467080
Cyp6a18 3R:27478675-27482904
Gr98a 3R:27487927-27489968
CG43139 3R:27501366-27502025
CG5402 3R:27502090-27502956
CR46086 3R:27503393-27504101
CG13972 3R:27515911-27517257
CG12885 3R:27520866-27533934
CR44289 3R:27535831-27537903
CR44288 3R:27538233-27539159
Gr98b 3R:27542497-27543888
Gr98c 3R:27544443-27545836
Gr98d 3R:27546052-27547462
Klp98A 3R:27547775-27559145
CG5646 3R:27559379-27561319
snmRNA:157 3R:27560928-27560970
wdb 3R:27561675-27582241
pins 3R:27582840-27586376
CG5639 3R:27586474-27596130
dsd 3R:27597563-27607396
Tusp 3R:27607879-27634932
CG5612 3R:27623359-27626011
CG5611 3R:27634625-27636060
Mtl 3R:27636412-27639871
tau 3R:27639886-27656996
mir-1001 3R:27642466-27642555
RpS10a 3R:27652760-27653363
Mlc1 3R:27657078-27660177
unc80 3R:27662439-27677099
CG5590 3R:27677522-27679013
CG12883 3R:27679291-27680336
Sce 3R:27680431-27682029
CG31055 3R:27685632-27688134
CG12880 3R:27685962-27692790
CG43319 3R:27694318-27694541
Acp98AB 3R:27694883-27695057
CG43320 3R:27695235-27696531
ALiX 3R:27696466-27700110
btz 3R:27700361-27703445
CG12428 3R:27703379-27706751
CG12877 3R:27707100-27710857
Ets98B 3R:27736538-27748366
CG34353 3R:27767966-27905843
Or98P 3R:27845089-27845414
Or98a 3R:27845950-27847260
CG12426 3R:27871501-27872390
mil 3R:27912447-27913785
CG5003 3R:27913777-27916516
mRpS22 3R:27916908-27918248
CG33213 3R:27918182-27919460
CG12259 3R:27919844-27921089
BCAS2 3R:27921283-27922356
RpL4 3R:27922821-27924888
snoRNA:Or-aca3 3R:27923915-27924061
CR45566 3R:27924879-27925368
mino 3R:27925191-27933077
CG31053 3R:27927357-27928174
NSD 3R:27932982-27937853
BOD1 3R:27938245-27942778
mfrn 3R:27942796-27948021
Gp93 3R:27948711-27952151
CG4951 3R:27952051-27954112
CG5527 3R:27954917-27957326
CG42487 3R:27957356-27959245
CG4884 3R:27957356-27959245
CG31253 3R:27959346-27960573
CR31054 3R:27960768-27961476
CR45548 3R:27961443-27961821
CG31131 3R:27961992-27963219
CG4849 3R:27963415-27966958
betaTub97EF 3R:27967008-27988384
CG4815 3R:27989699-27990751
CR46087 3R:27999622-28000302
lncRNA:TS27 3R:27999908-28001015
trv 3R:28026615-28090740
CR46077 3R:28137647-28137965
CR46076 3R:28140480-28141378
CR46078 3R:28146392-28146962
CG34354 3R:28146880-28240526
CR46079 3R:28152964-28153752
CR46080 3R:28153301-28153759
CR45041 3R:28237449-28238570
CG43125 3R:28262735-28263622
CG43124 3R:28263871-28264773
CG34436 3R:28282580-28283548
CG34437 3R:28283719-28284725
Mst98Ca 3R:28291338-28292656
Mst98Cb 3R:28292798-28293863
UQCR-14L 3R:28294048-28294550
CR44229 3R:28294623-28295279
CR46103 3R:28302913-28303571
CG12516 3R:28303631-28304605
larp 3R:28318162-28336440
CR46104 3R:28336889-28337629
Gfat2 3R:28337019-28339765
Moca-cyp 3R:28340334-28345169
CR46105 3R:28340412-28340800
Or98b 3R:28352242-28353620
beat-VI 3R:28418208-28474814
CR46106 3R:28427094-28427990
CG1894 3R:28484557-28486062
Dhc98D 3R:28486953-28519398
CG31051 3R:28519548-28520515
Ppn 3R:28520665-28540324
mIF2 3R:28542274-28544817
fkh 3R:28580976-28585264
MRE23 3R:28586048-28591386
CR43440 3R:28593488-28594283
Noa36 3R:28598059-28599288
Hrb98DE 3R:28599834-28605777
